"documento","pagable","apl_int_fin","apl_int_mor","apl_bonific","apl_pago"
"1",\N,\N,\N,\N,\N
"2",\N,\N,\N,\N,\N
"3","1",\N,\N,\N,\N
"4","1",\N,\N,\N,\N
"5",\N,\N,\N,"1",\N
"6","1",\N,\N,\N,\N
"7",\N,\N,\N,\N,\N
"17","1",\N,"1",\N,\N
"18","1",\N,\N,\N,\N
"19",\N,\N,\N,\N,"1"
"33",\N,\N,\N,\N,\N
"34",\N,\N,\N,\N,\N
"65",\N,\N,\N,\N,\N
"66",\N,\N,\N,\N,\N
"67",\N,\N,\N,\N,\N
"68",\N,\N,\N,\N,\N
"69",\N,\N,\N,\N,\N
"70",\N,\N,\N,\N,\N
"80",\N,\N,\N,\N,\N
