"sys_guid","sys_dtcreated","sys_timestamp","sys_dtexported","sys_info","sys_user","sys_lastuser","sys_exported","sys_deleted","sys_recver","sys_lock","codigo","descripcion","codcuenta","pmensual","tipo","padre","uf_inhabilitado","uf_fechainhabilitacion"

"6B37206C6E744868AE187D96EDEA1604","2023-11-17 12:57:08","2023-11-17 12:56:51","2023-11-17 12:56:51",\N,\N,\N,0,0,0,\N,0012,Transferencias internas,\N,0.00000000,30,\N,\N,\N
"CA90029DECBF466588FC6BEDF638E562","2025-05-22 11:58:00","2025-05-22 11:58:00","2025-05-22 11:58:00",\N,\N,\N,0,0,0,\N,GDC01,Saldo inicial,\N,0.00000000,1,\N,\N,\N
