"documento","depositos","retiros","traspasos"
"1",\N,\N,\N
"2",\N,\N,\N
"3",\N,\N,\N
"4",\N,\N,\N
"5",\N,\N,\N
"6",\N,\N,\N
"7",\N,\N,\N
"17",\N,\N,\N
"18",\N,\N,\N
"19",\N,\N,\N
"33",\N,\N,\N
"34",\N,\N,\N
"65","1",\N,"1"
"66",\N,"1",\N
"67",\N,"1","1"
"68",\N,\N,"1"
"69",\N,\N,"1"
"70",\N,\N,\N
"80",\N,\N,\N
